pipe_number,cost_GBP,execution_time_sec
3,17951.02305,40.919
9,20521.64733,40.919
27,5269.200061,40.919
30,8031.505868,40.919
40,7480.104883,40.919
44,58781.91889,40.919
45,4681.608498,40.919
52,3552.654058,40.919
70,25040.68297,40.919
73,13577.13,40.919
93,41526.80526,40.919
100,20271.13683,40.919
112,34568.94804,40.919
117,2645.016197,40.919
127,8605.382224,40.919
136,45938.75329,40.919
139,133456.8337,40.919
142,231252.7131,40.919
146,4823.095985,40.919
147,14503.33678,40.919
160,18935.07322,40.919
168,56483.08089,40.919
170,27660.72949,40.919
173,7639.425421,40.919
177,9807.176979,40.919
189,22200.76296,40.919
190,25358.75091,40.919
195,7484.150284,40.919
209,7216.498019,40.919
223,28437.55455,40.919
227,43901.27734,40.919
252,51519.40602,40.919
259,24251.31928,40.919
270,7522.191058,40.919
275,5902.080708,40.919
279,37206.60522,40.919
284,2867.530219,40.919
301,44295.47163,40.919
308,369005.8853,40.919
331,4563.156855,40.919
349,25097.27034,40.919
351,89603.15445,40.919
359,10489.562,40.919
368,1498.353623,40.919
383,7598.900825,40.919
425,2349.655793,40.919
427,117674.6686,40.919
443,51160.31781,40.919
444,3098.113999,40.919
461,109985.4183,40.919
472,93385.13855,40.919
490,3218.100588,40.919
493,6901.537428,40.919
506,84825.7298,40.919
516,11058.23487,40.919
520,12337.3223,40.919
526,24736.31778,40.919
542,34771.34503,40.919
546,32453.22641,40.919
565,18089.68551,40.919
579,41361.00446,40.919
590,69503.83445,40.919
599,5355.567672,40.919
617,18636.54891,40.919
637,7330.267168,40.919
638,204085.2476,40.919
655,20762.38659,40.919
663,66009.87654,40.919
679,34857.35811,40.919
699,4298.981556,40.919
703,47718.07427,40.919
707,16175.10204,40.919
708,82419.57655,40.919
720,136470.2838,40.919
730,18847.79793,40.919
743,31444.28375,40.919
759,16959.66004,40.919
771,7975.169385,40.919
777,6046.740139,40.919
781,14219.54695,40.919
782,39360.06453,40.919
800,37795.92771,40.919
802,17195.88678,40.919
834,12284.19248,40.919
836,48966.13132,40.919
846,16959.64554,40.919
874,63510.15126,40.919
881,20421.85562,40.919
885,7399.439583,40.919
926,14620.88577,40.919
933,7451.789732,40.919
936,93577.61681,40.919
979,29252.70189,40.919
985,6620.936794,40.919
