id,target_burst_rate,target_leakage_rate,target_supply_int,optimal_cost_gbp,heuristic_cost_gbp,cost_difference_gbp,heuristic_cost_excess_%,n_optimal_pipes,n_pipes_heuristic,correct_pipes_selected,pipe_accuracy,Xpress_time_sec,heuristics_time_sec,n_constraints,adjustment
br10_lr10000_si50,10,10000,50,5591254.9288759995,5593255.717592346,2000.7887163460255,0.03578425133171742,144,144,141,0.9791666666666666,1.9430000000000034,7.287931,3,w_adjustment
br10_lr25000_si50,10,25000,50,5591254.9288759995,5593255.717592346,2000.7887163460255,0.03578425133171742,144,144,141,0.9791666666666666,1.818000000000005,7.196706,3,w_adjustment
br10_lr28000_si10,10,28000,10,9186326.615712997,9216106.405271733,29779.789558736607,0.3241751660320783,126,123,120,0.9523809523809523,2.4079999999999973,9.52016,3,w_adjustment
br20_lr15000_si20,20,15000,20,4114081.3466529995,4114081.346605986,-4.701362922787666e-05,-1.142749140488544e-09,34,34,34,1.0,2.04,2.874538,3,w_adjustment
br25_lr25000_si15,25,25000,15,5819042.940222998,5836626.047565095,17583.107342096977,0.3021649354150178,50,51,49,0.98,2.0580000000000025,10.041856,3,w_adjustment
br25_lr30000_si60,25,30000,60,968083.5258499999,972201.2166227689,4117.690772769041,0.42534457645621154,14,18,13,0.9285714285714286,8.33,3.980282,3,w_adjustment
br28_lr10000_si50,28,10000,50,3391623.084672,3392615.8950719596,992.8103999597952,0.029272427247198335,90,91,88,0.9777777777777777,1.8530000000000002,3.354614,3,w_adjustment
br28_lr25000_si10,28,25000,10,8898009.862642,8902272.387530508,4262.524888508022,0.04790424998745047,92,96,91,0.9891304347826086,4.156999999999997,7.813678,3,w_adjustment
br30_lr10000_si10,30,10000,10,8898009.862642,8902188.607297048,4178.744655048475,0.04696268850625572,92,97,91,0.9891304347826086,4.593999999999995,7.321506,3,w_adjustment
br30_lr29000_si92,30,29000,92,315783.223858,315783.22386577394,7.77392415329814e-06,2.4617913701438055e-09,13,13,13,1.0,4.5360000000000005,2.171665,2,w_adjustment
br30_lr45000_si50,30,45000,50,994478.4058059999,997245.0309347729,2766.625128773041,0.2781986127220893,10,9,6,0.6,8.346000000000002,8.649826,2,w_adjustment
br35_lr15000_si60,35,15000,60,1605420.2416550003,1605674.7213135052,254.47965850494802,0.015851280051297302,36,36,35,0.9722222222222222,4.607,2.948249,3,w_adjustment
br35_lr30000_si60,35,30000,60,631673.34343,631673.3433503233,-7.967674173414707e-05,-1.2613598873984554e-08,4,4,4,1.0,3.887,7.949462,3,w_adjustment
br40_lr10000_si60,40,10000,60,3391623.084672,3392615.8950719596,992.8103999597952,0.029272427247198335,90,91,88,0.9777777777777777,2.4269999999999987,3.254124,3,w_adjustment
br45_lr10000_si55,45,10000,55,3391623.084672,3392615.8950719596,992.8103999597952,0.029272427247198335,90,91,88,0.9777777777777777,2.5,3.285213,2,w_adjustment
br45_lr45000_si29,45,45000,29,2453531.512678,2453531.5126613188,-1.6681384295225143e-05,-6.798928079394266e-10,21,21,21,1.0,3.4029999999999996,2.540333,1,w_adjustment
br45_lr30000_si98,45,30000,98,37151.535198,37151.535203297775,5.29777753399685e-06,1.4259915521020108e-08,2,2,2,1.0,1.9240000000000002,4.780133,1,w_adjustment
br35_lr48000_si98,35,48000,98,90138.930418,90138.93041713226,-8.677452569827437e-07,-9.626753423396092e-10,3,3,3,1.0,5.1579999999999995,5.613157,1,w_adjustment
br25_lr48000_si98,25,48000,98,869205.783883,869205.7838921759,9.175855666399002e-06,1.0556597570494451e-09,26,26,26,1.0,10.379999999999997,7.170952,1,w_adjustment
br20_lr48000_si98,20,48000,98,1685371.5163070003,1685371.5163162148,9.214505553245544e-06,5.467343825435263e-10,34,34,34,1.0,1.985999999999999,2.83096,1,w_adjustment
br15_lr48000_si98,15,48000,98,2957113.012614,2958950.3887012927,1837.3760872925632,0.062134117954064164,69,69,68,0.9855072463768116,2.3300000000000014,5.286238,1,w_adjustment
br10_lr48000_si98,10,48000,98,5591254.9288759995,5593255.717592346,2000.7887163460255,0.03578425133171742,144,144,141,0.9791666666666666,2.8170000000000037,7.130137,1,w_adjustment
br45_lr25000_si98,45,25000,98,117678.21484,117678.21484377075,3.770750481635332e-06,3.2042893298153737e-09,3,3,3,1.0,1.735,4.300643,1,w_adjustment
br45_lr20000_si98,45,20000,98,557073.429062,557073.4290861707,2.417073119431734e-05,4.338877055223404e-09,14,14,14,1.0,1.8659999999999999,8.019502,1,w_adjustment
br45_lr15000_si98,45,15000,98,1605420.2416550003,1605674.721313505,254.4796585047152,0.0158512800512828,36,36,35,0.9722222222222222,1.6599999999999984,10.076825,1,w_adjustment
br45_lr10000_si98,45,10000,98,3391623.084672,3392615.8950719596,992.8103999597952,0.029272427247198335,90,91,88,0.9777777777777777,1.7669999999999981,3.40039,1,w_adjustment
br45_lr45000_si45,45,45000,45,1172273.8644899998,1194709.0213157597,22435.156825759914,1.913815321262014,8,10,7,0.875,1.776,7.158295,1,w_adjustment
br45_lr45000_si40,45,45000,40,1435451.642388,1455945.466032949,20493.823644949123,1.4276916783386617,12,12,11,0.9166666666666666,1.9690000000000003,8.691847,1,w_adjustment
br45_lr45000_si30,45,45000,30,2331158.13786,2331873.598410281,715.4605502807535,0.030691206171776286,17,18,16,0.9411764705882353,1.7819999999999998,10.258188,1,w_adjustment
br45_lr45000_si20,45,45000,20,4114081.3466529995,4114081.346605986,-4.701362922787666e-05,-1.142749140488544e-09,34,34,34,1.0,1.8089999999999993,2.971778,1,w_adjustment
br45_lr20000_si18,45,20000,18,4663027.812214999,4663650.661550092,622.8493350921199,0.01335718679310768,40,39,37,0.925,2.1260000000000003,5.727777,2,w_adjustment
br45_lr18000_si50,45,18000,50,1129818.1814,1156385.1729335608,26566.99153356091,2.351439547612941,13,15,11,0.8461538461538461,2.102,2.243225,2,w_adjustment
br23_lr17000_si98,23,17000,98,1194507.9005500001,1201207.0953811521,6699.194831151981,0.5608330282342543,27,31,25,0.9259259259259259,1.8239999999999998,7.331332,2,w_adjustment
br15_lr30000_si98,15,30000,98,2957113.012614,2958950.3887012927,1837.3760872925632,0.062134117954064164,69,69,68,0.9855072463768116,1.9489999999999994,5.256073,2,w_adjustment
br25_lr45000_si34,25,45000,34,1838800.360658,1846170.678614775,7370.317956774961,0.4008220856633698,16,15,14,0.875,1.7549999999999992,7.567523,2,w_adjustment
br15_lr45000_si45,15,45000,45,2957113.012614,2958950.388701293,1837.3760872930288,0.06213411795407991,69,69,68,0.9855072463768116,2.022000000000001,5.207367,2,w_adjustment
