pipe_number,cost_GBP,execution_time_sec
41,15445.33223,2.5
44,56906.49442,2.5
47,8733.070453,2.5
55,15530.14901,2.5
69,20461.02242,2.5
106,31086.00512,2.5
120,12088.32307,2.5
148,12491.17705,2.5
171,46011.77234,2.5
177,9456.156601,2.5
179,9900.539287,2.5
180,14924.14927,2.5
183,32345.40981,2.5
185,38824.35889,2.5
195,15018.76397,2.5
201,17466.63549,2.5
232,25299.94903,2.5
240,19814.8148,2.5
244,20069.29445,2.5
247,9638.527936,2.5
257,4704.243275,2.5
261,47285.37586,2.5
290,20563.81516,2.5
300,5355.902631,2.5
317,147494.3374,2.5
332,116963.3324,2.5
333,1421.757275,2.5
335,12183.20258,2.5
359,56050.54686,2.5
365,9600.688375,2.5
376,4806.125388,2.5
378,407303.9011,2.5
383,12255.48083,2.5
393,3259.133334,2.5
401,24853.04399,2.5
429,34649.98801,2.5
469,15665.61911,2.5
470,20180.5486,2.5
472,134564.2133,2.5
481,1001.895644,2.5
487,30652.23272,2.5
491,13123.50571,2.5
509,32857.42713,2.5
514,34722.02002,2.5
515,17417.28905,2.5
525,11352.73476,2.5
527,69358.68076,2.5
532,12349.02552,2.5
536,3157.349549,2.5
545,22512.54227,2.5
566,7983.961548,2.5
596,19617.67369,2.5
613,55423.80853,2.5
626,43456.27228,2.5
631,151192.8344,2.5
636,4698.279837,2.5
644,86546.30539,2.5
661,15226.53161,2.5
674,20345.5136,2.5
675,38507.88494,2.5
680,20518.32611,2.5
705,4988.664572,2.5
713,29766.73003,2.5
719,9473.493715,2.5
738,18376.67953,2.5
764,31449.88966,2.5
766,8757.750446,2.5
776,78495.94459,2.5
788,14419.78894,2.5
818,108430.759,2.5
829,90197.79474,2.5
843,51229.97047,2.5
850,91538.04076,2.5
853,117595.4837,2.5
855,28195.71707,2.5
882,2167.405284,2.5
905,26631.19551,2.5
906,38047.42917,2.5
917,42230.56791,2.5
922,37439.86015,2.5
923,23008.61206,2.5
935,8710.167475,2.5
939,57304.43808,2.5
944,17516.362,2.5
945,20670.48493,2.5
953,3927.443248,2.5
957,186403.0363,2.5
976,3875.877493,2.5
983,9324.316519,2.5
986,8753.885127,2.5
