pipe_number,cost_GBP,execution_time_sec
41,15445.33223,1.767
44,56906.49442,1.767
47,8733.070453,1.767
55,15530.14901,1.767
69,20461.02242,1.767
106,31086.00512,1.767
120,12088.32307,1.767
148,12491.17705,1.767
171,46011.77234,1.767
177,9456.156601,1.767
179,9900.539287,1.767
180,14924.14927,1.767
183,32345.40981,1.767
185,38824.35889,1.767
195,15018.76397,1.767
201,17466.63549,1.767
232,25299.94903,1.767
240,19814.8148,1.767
244,20069.29445,1.767
247,9638.527936,1.767
257,4704.243275,1.767
261,47285.37586,1.767
290,20563.81516,1.767
300,5355.902631,1.767
317,147494.3374,1.767
332,116963.3324,1.767
333,1421.757275,1.767
335,12183.20258,1.767
359,56050.54686,1.767
365,9600.688375,1.767
376,4806.125388,1.767
378,407303.9011,1.767
383,12255.48083,1.767
393,3259.133334,1.767
401,24853.04399,1.767
429,34649.98801,1.767
469,15665.61911,1.767
470,20180.5486,1.767
472,134564.2133,1.767
481,1001.895644,1.767
487,30652.23272,1.767
491,13123.50571,1.767
509,32857.42713,1.767
514,34722.02002,1.767
515,17417.28905,1.767
525,11352.73476,1.767
527,69358.68076,1.767
532,12349.02552,1.767
536,3157.349549,1.767
545,22512.54227,1.767
566,7983.961548,1.767
596,19617.67369,1.767
613,55423.80853,1.767
626,43456.27228,1.767
631,151192.8344,1.767
636,4698.279837,1.767
644,86546.30539,1.767
661,15226.53161,1.767
674,20345.5136,1.767
675,38507.88494,1.767
680,20518.32611,1.767
705,4988.664572,1.767
713,29766.73003,1.767
719,9473.493715,1.767
738,18376.67953,1.767
764,31449.88966,1.767
766,8757.750446,1.767
776,78495.94459,1.767
788,14419.78894,1.767
818,108430.759,1.767
829,90197.79474,1.767
843,51229.97047,1.767
850,91538.04076,1.767
853,117595.4837,1.767
855,28195.71707,1.767
882,2167.405284,1.767
905,26631.19551,1.767
906,38047.42917,1.767
917,42230.56791,1.767
922,37439.86015,1.767
923,23008.61206,1.767
935,8710.167475,1.767
939,57304.43808,1.767
944,17516.362,1.767
945,20670.48493,1.767
953,3927.443248,1.767
957,186403.0363,1.767
976,3875.877493,1.767
983,9324.316519,1.767
986,8753.885127,1.767
