pipe_number,cost_GBP,execution_time_sec
14,121580.8707,1.818
24,25444.40148,1.818
41,15445.33223,1.818
44,56906.49442,1.818
47,8733.070453,1.818
55,15530.14901,1.818
69,20461.02242,1.818
106,31086.00512,1.818
120,12088.32307,1.818
136,23133.11967,1.818
148,12491.17705,1.818
163,5920.060107,1.818
171,46011.77234,1.818
175,42497.86047,1.818
177,9456.156601,1.818
178,96715.54165,1.818
179,9900.539287,1.818
180,14924.14927,1.818
183,32345.40981,1.818
185,38824.35889,1.818
186,11986.34144,1.818
195,15018.76397,1.818
201,17466.63549,1.818
206,81679.89133,1.818
218,42278.73512,1.818
220,98686.94122,1.818
232,25299.94903,1.818
240,19814.8148,1.818
243,76515.45146,1.818
244,20069.29445,1.818
247,9638.527936,1.818
250,38375.41311,1.818
257,4704.243275,1.818
261,47285.37586,1.818
265,8191.727278,1.818
266,2668.166071,1.818
278,34907.41846,1.818
279,87175.91837,1.818
290,20563.81516,1.818
300,5355.902631,1.818
304,47139.30564,1.818
305,145081.9513,1.818
317,147494.3374,1.818
332,116963.3324,1.818
333,1421.757275,1.818
335,12183.20258,1.818
359,56050.54686,1.818
365,9600.688375,1.818
367,44117.02126,1.818
372,60120.96752,1.818
374,2886.654842,1.818
376,4806.125388,1.818
378,407303.9011,1.818
383,12255.48083,1.818
392,26890.00959,1.818
393,3259.133334,1.818
401,24853.04399,1.818
429,34649.98801,1.818
448,3529.311862,1.818
467,35572.85306,1.818
469,15665.61911,1.818
470,20180.5486,1.818
472,134564.2133,1.818
481,1001.895644,1.818
487,30652.23272,1.818
491,13123.50571,1.818
500,23797.81914,1.818
509,32857.42713,1.818
514,34722.02002,1.818
515,17417.28905,1.818
524,57577.60552,1.818
525,11352.73476,1.818
527,69358.68076,1.818
531,13065.22606,1.818
532,12349.02552,1.818
536,3157.349549,1.818
540,51564.67087,1.818
545,22512.54227,1.818
549,38009.09122,1.818
560,27437.38929,1.818
566,7983.961548,1.818
588,41297.44479,1.818
595,36231.337,1.818
596,19617.67369,1.818
613,55423.80853,1.818
621,49963.89712,1.818
626,43456.27228,1.818
631,151192.8344,1.818
636,4698.279837,1.818
644,86546.30539,1.818
653,29909.44008,1.818
661,15226.53161,1.818
663,65871.7956,1.818
674,20345.5136,1.818
675,38507.88494,1.818
680,20518.32611,1.818
705,4988.664572,1.818
713,29766.73003,1.818
716,11009.80822,1.818
719,9473.493715,1.818
729,16338.91796,1.818
734,37956.89885,1.818
737,16500.5225,1.818
738,18376.67953,1.818
762,10896.74907,1.818
763,30417.76604,1.818
764,31449.88966,1.818
766,8757.750446,1.818
776,78495.94459,1.818
787,19921.5361,1.818
788,14419.78894,1.818
811,92013.16601,1.818
816,18775.32099,1.818
818,108430.759,1.818
820,38070.5488,1.818
829,90197.79474,1.818
832,14418.93117,1.818
843,51229.97047,1.818
844,3673.316502,1.818
845,9347.317169,1.818
847,11460.46755,1.818
850,91538.04076,1.818
853,117595.4837,1.818
855,28195.71707,1.818
878,163866.6397,1.818
882,2167.405284,1.818
905,26631.19551,1.818
906,38047.42917,1.818
907,30297.74801,1.818
917,42230.56791,1.818
920,55241.78634,1.818
922,37439.86015,1.818
923,23008.61206,1.818
935,8710.167475,1.818
939,57304.43808,1.818
944,17516.362,1.818
945,20670.48493,1.818
953,3927.443248,1.818
957,186403.0363,1.818
960,7471.489543,1.818
964,14131.26398,1.818
976,3875.877493,1.818
983,9324.316519,1.818
986,8753.885127,1.818
