pipe_number,cost_GBP,execution_time_sec
80,186586.6465,2.058
106,31086.00512,2.058
183,32345.40981,2.058
195,15018.76397,2.058
196,383482.2633,2.058
201,17466.63549,2.058
220,98686.94122,2.058
232,25299.94903,2.058
237,79231.11067,2.058
261,47285.37586,2.058
279,87175.91837,2.058
289,27455.2749,2.058
304,47139.30564,2.058
317,147494.3374,2.058
332,116963.3324,2.058
357,81543.08135,2.058
359,56050.54686,2.058
376,4806.125388,2.058
378,407303.9011,2.058
403,297528.6295,2.058
472,134564.2133,2.058
491,13123.50571,2.058
502,138550.1467,2.058
527,69358.68076,2.058
573,138167.5226,2.058
592,433757.4888,2.058
604,106594.6443,2.058
626,43456.27228,2.058
631,151192.8344,2.058
644,86546.30539,2.058
645,143045.4692,2.058
683,173151.8789,2.058
719,9473.493715,2.058
738,18376.67953,2.058
750,427399.8415,2.058
804,92072.24127,2.058
811,92013.16601,2.058
818,108430.759,2.058
843,51229.97047,2.058
850,91538.04076,2.058
853,117595.4837,2.058
878,163866.6397,2.058
897,41331.87936,2.058
906,38047.42917,2.058
917,42230.56791,2.058
939,57304.43808,2.058
945,20670.48493,2.058
957,186403.0363,2.058
958,313052.3229,2.058
978,126547.9497,2.058
