pipe_number,cost_GBP,execution_time_sec
41,15445.33223,1.949
44,56906.49442,1.949
47,8733.070453,1.949
55,15530.14901,1.949
69,20461.02242,1.949
106,31086.00512,1.949
120,12088.32307,1.949
148,12491.17705,1.949
171,46011.77234,1.949
177,9456.156601,1.949
180,14924.14927,1.949
183,32345.40981,1.949
195,15018.76397,1.949
201,17466.63549,1.949
232,25299.94903,1.949
240,19814.8148,1.949
244,20069.29445,1.949
247,9638.527936,1.949
261,47285.37586,1.949
317,147494.3374,1.949
332,116963.3324,1.949
333,1421.757275,1.949
359,56050.54686,1.949
365,9600.688375,1.949
376,4806.125388,1.949
378,407303.9011,1.949
383,12255.48083,1.949
401,24853.04399,1.949
469,15665.61911,1.949
470,20180.5486,1.949
472,134564.2133,1.949
481,1001.895644,1.949
487,30652.23272,1.949
491,13123.50571,1.949
509,32857.42713,1.949
525,11352.73476,1.949
527,69358.68076,1.949
545,22512.54227,1.949
566,7983.961548,1.949
596,19617.67369,1.949
626,43456.27228,1.949
631,151192.8344,1.949
644,86546.30539,1.949
674,20345.5136,1.949
675,38507.88494,1.949
705,4988.664572,1.949
713,29766.73003,1.949
719,9473.493715,1.949
738,18376.67953,1.949
764,31449.88966,1.949
776,78495.94459,1.949
818,108430.759,1.949
829,90197.79474,1.949
843,51229.97047,1.949
853,117595.4837,1.949
855,28195.71707,1.949
882,2167.405284,1.949
905,26631.19551,1.949
906,38047.42917,1.949
917,42230.56791,1.949
922,37439.86015,1.949
923,23008.61206,1.949
935,8710.167475,1.949
939,57304.43808,1.949
945,20670.48493,1.949
953,3927.443248,1.949
957,186403.0363,1.949
976,3875.877493,1.949
986,8753.885127,1.949
