pipe_number,cost_GBP,execution_time_sec
14,121580.8707,4.157
55,15530.14901,4.157
61,49867.18678,4.157
69,20461.02242,4.157
80,186586.6465,4.157
106,31086.00512,4.157
153,97766.35891,4.157
175,42497.86047,4.157
180,14924.14927,4.157
183,32345.40981,4.157
195,15018.76397,4.157
196,383482.2633,4.157
201,17466.63549,4.157
206,81679.89133,4.157
220,98686.94122,4.157
232,25299.94903,4.157
237,79231.11067,4.157
239,307729.5903,4.157
240,19814.8148,4.157
244,20069.29445,4.157
258,73134.35377,4.157
261,47285.37586,4.157
279,87175.91837,4.157
288,147313.2464,4.157
289,27455.2749,4.157
304,47139.30564,4.157
317,147494.3374,4.157
332,116963.3324,4.157
349,175226.0089,4.157
354,61292.31169,4.157
357,81543.08135,4.157
359,56050.54686,4.157
376,4806.125388,4.157
378,407303.9011,4.157
392,26890.00959,4.157
403,297528.6295,4.157
409,159893.6432,4.157
452,84082.87429,4.157
458,60615.26264,4.157
470,20180.5486,4.157
472,134564.2133,4.157
475,85334.3936,4.157
491,13123.50571,4.157
502,138550.1467,4.157
509,32857.42713,4.157
514,34722.02002,4.157
524,57577.60552,4.157
525,11352.73476,4.157
527,69358.68076,4.157
540,51564.67087,4.157
549,38009.09122,4.157
573,138167.5226,4.157
592,433757.4888,4.157
604,106594.6443,4.157
612,221290.5497,4.157
626,43456.27228,4.157
631,151192.8344,4.157
644,86546.30539,4.157
645,143045.4692,4.157
661,15226.53161,4.157
663,65871.7956,4.157
675,38507.88494,4.157
683,173151.8789,4.157
689,18073.46866,4.157
703,359504.4991,4.157
705,4988.664572,4.157
719,9473.493715,4.157
738,18376.67953,4.157
750,427399.8415,4.157
764,31449.88966,4.157
776,78495.94459,4.157
804,92072.24127,4.157
807,141116.9959,4.157
811,92013.16601,4.157
816,18775.32099,4.157
818,108430.759,4.157
829,90197.79474,4.157
843,51229.97047,4.157
850,91538.04076,4.157
853,117595.4837,4.157
855,28195.71707,4.157
878,163866.6397,4.157
897,41331.87936,4.157
903,46550.58952,4.157
906,38047.42917,4.157
917,42230.56791,4.157
939,57304.43808,4.157
945,20670.48493,4.157
957,186403.0363,4.157
958,313052.3229,4.157
978,126547.9497,4.157
986,8753.885127,4.157
