pipe_number,cost_GBP,execution_time_sec
41,15445.33223,1.853
44,56906.49442,1.853
47,8733.070453,1.853
55,15530.14901,1.853
69,20461.02242,1.853
106,31086.00512,1.853
120,12088.32307,1.853
148,12491.17705,1.853
171,46011.77234,1.853
177,9456.156601,1.853
179,9900.539287,1.853
180,14924.14927,1.853
183,32345.40981,1.853
185,38824.35889,1.853
195,15018.76397,1.853
201,17466.63549,1.853
232,25299.94903,1.853
240,19814.8148,1.853
244,20069.29445,1.853
247,9638.527936,1.853
257,4704.243275,1.853
261,47285.37586,1.853
290,20563.81516,1.853
300,5355.902631,1.853
317,147494.3374,1.853
332,116963.3324,1.853
333,1421.757275,1.853
335,12183.20258,1.853
359,56050.54686,1.853
365,9600.688375,1.853
376,4806.125388,1.853
378,407303.9011,1.853
383,12255.48083,1.853
393,3259.133334,1.853
401,24853.04399,1.853
429,34649.98801,1.853
469,15665.61911,1.853
470,20180.5486,1.853
472,134564.2133,1.853
481,1001.895644,1.853
487,30652.23272,1.853
491,13123.50571,1.853
509,32857.42713,1.853
514,34722.02002,1.853
515,17417.28905,1.853
525,11352.73476,1.853
527,69358.68076,1.853
532,12349.02552,1.853
536,3157.349549,1.853
545,22512.54227,1.853
566,7983.961548,1.853
596,19617.67369,1.853
613,55423.80853,1.853
626,43456.27228,1.853
631,151192.8344,1.853
636,4698.279837,1.853
644,86546.30539,1.853
661,15226.53161,1.853
674,20345.5136,1.853
675,38507.88494,1.853
680,20518.32611,1.853
705,4988.664572,1.853
713,29766.73003,1.853
719,9473.493715,1.853
738,18376.67953,1.853
764,31449.88966,1.853
766,8757.750446,1.853
776,78495.94459,1.853
788,14419.78894,1.853
818,108430.759,1.853
829,90197.79474,1.853
843,51229.97047,1.853
850,91538.04076,1.853
853,117595.4837,1.853
855,28195.71707,1.853
882,2167.405284,1.853
905,26631.19551,1.853
906,38047.42917,1.853
917,42230.56791,1.853
922,37439.86015,1.853
923,23008.61206,1.853
935,8710.167475,1.853
939,57304.43808,1.853
944,17516.362,1.853
945,20670.48493,1.853
953,3927.443248,1.853
957,186403.0363,1.853
976,3875.877493,1.853
983,9324.316519,1.853
986,8753.885127,1.853
