pipe_number,cost_GBP,execution_time_sec
506,84825.7298,209.015
523,259283.6936,209.015
638,204085.2476,209.015
679,34857.35811,209.015
1476,287799.0451,209.015
1918,14315.04708,209.015
2151,50075.24884,209.015
2217,162573.6895,209.015
2237,32973.75303,209.015
2319,443178.5862,209.015
2549,3914.712694,209.015
2608,318753.0752,209.015
2673,33157.14367,209.015
2886,218684.8182,209.015
3016,122970.5182,209.015
3297,46522.18911,209.015
4226,696175.0359,209.015
4351,244338.6185,209.015
4608,163189.1453,209.015
4715,158924.5276,209.015
5193,406039.6072,209.015
5226,397851.5906,209.015
5663,201057.198,209.015
5915,13789.82532,209.015
6393,153237.0314,209.015
6495,13710.14591,209.015
6577,759999.6123,209.015
7097,138309.5045,209.015
7293,285733.9989,209.015
7627,25898.49807,209.015
8055,230963.3139,209.015
8252,362223.5467,209.015
8558,59987.21578,209.015
8739,101258.6385,209.015
8832,417570.7825,209.015
8902,8899.314584,209.015
8909,182367.4276,209.015
9244,94894.70707,209.015
9448,560212.0499,209.015
11068,73861.75161,209.015
11117,700833.9179,209.015
11689,912052.8866,209.015
11762,306397.3828,209.015
11931,55314.88243,209.015
12043,92416.22326,209.015
12126,173848.3438,209.015
12208,921286.2772,209.015
12281,125447.7537,209.015
12429,59772.69408,209.015
12769,61681.05939,209.015
12850,188457.2284,209.015
12968,448975.7888,209.015
13180,306522.6225,209.015
13662,94755.85263,209.015
15292,13392.20062,209.015
15537,93521.28701,209.015
15662,110454.5737,209.015
15967,202609.5318,209.015
16087,324271.7788,209.015
16370,790793.3087,209.015
16566,232653.0942,209.015
16686,74379.88735,209.015
17178,198484.5318,209.015
17635,9720.360709,209.015
17987,87685.13033,209.015
18779,521196.0867,209.015
18940,46467.91496,209.015
19157,18545.42749,209.015
19193,142568.8978,209.015
19600,95577.21051,209.015
20103,71821.831,209.015
20329,530865.054,209.015
20466,191032.5243,209.015
20650,500954.9501,209.015
20887,2640309.254,209.015
21374,194599.8803,209.015
21514,423554.1213,209.015
21733,187159.7248,209.015
22047,77636.9807,209.015
22118,69874.41947,209.015
22143,205808.3289,209.015
22752,124022.0359,209.015
22968,240491.042,209.015
23073,153605.0263,209.015
23311,31933.31679,209.015
23612,33612.30255,209.015
23790,39708.2446,209.015
23906,66517.64319,209.015
23987,207941.2315,209.015
24057,16193.42385,209.015
24400,121750.9221,209.015
25045,166639.1799,209.015
25127,48474.80419,209.015
25165,106483.4745,209.015
25183,71240.17758,209.015
25706,92735.11461,209.015
26003,94187.2099,209.015
26058,47928.80707,209.015
26277,840335.7098,209.015
26363,160611.4812,209.015
26914,65330.68459,209.015
26941,97315.99749,209.015
27263,160701.2955,209.015
27350,399819.7007,209.015
27670,288686.6059,209.015
27965,315788.4249,209.015
28201,515600.7287,209.015
28872,21599.21608,209.015
29537,36755.35637,209.015
29599,200034.6552,209.015
29696,86964.29098,209.015
29876,84008.53899,209.015
29947,147453.4744,209.015
30083,15719.42112,209.015
30750,32452.20495,209.015
31014,452175.0476,209.015
31450,46263.203,209.015
31545,414767.0193,209.015
31677,327211.2504,209.015
32477,1278978.604,209.015
32693,99990.6428,209.015
32804,22954.72602,209.015
33291,22272.70949,209.015
33518,44383.86149,209.015
34039,627882.5578,209.015
34160,288945.5681,209.015
34592,72499.80592,209.015
34983,30476.49213,209.015
34996,7569.674519,209.015
35084,151632.7746,209.015
