pipe_number,cost_GBP,execution_time_sec
1868,29059.95037,122.82
1918,14315.04708,122.82
2179,19932.70409,122.82
2549,3914.712694,122.82
3297,46522.18911,122.82
4698,2568.154586,122.82
6495,13710.14591,122.82
6601,11128.61196,122.82
7627,25898.49807,122.82
7698,9346.20249,122.82
8748,8610.106632,122.82
10370,14447.69551,122.82
11504,65807.97622,122.82
11689,912052.8866,122.82
12281,125447.7537,122.82
15292,13392.20062,122.82
15381,17522.5751,122.82
15555,4680.755986,122.82
15967,202609.5318,122.82
16182,32485.62879,122.82
16388,7113.387377,122.82
16901,5734.867745,122.82
17485,16279.36761,122.82
17635,9720.360709,122.82
18419,17589.84755,122.82
18940,46467.91496,122.82
19998,2954.352803,122.82
20488,3699.610229,122.82
23612,33612.30255,122.82
23790,39708.2446,122.82
24002,22693.564,122.82
24986,16405.75772,122.82
25031,2594.941238,122.82
25481,20486.31637,122.82
26027,2407.354612,122.82
28872,21599.21608,122.82
29599,200034.6552,122.82
29876,84008.53899,122.82
29947,147453.4744,122.82
30750,32452.20495,122.82
34996,7569.674519,122.82
35123,39169.86373,122.82
35865,11232.11723,122.82
36185,5653.195043,122.82
37195,195917.6162,122.82
37726,33310.30839,122.82
41812,16003.68521,122.82
43076,24165.95579,122.82
45142,3933.975855,122.82
45300,66705.32724,122.82
46377,5404.976413,122.82
46738,32805.98982,122.82
47170,24086.05246,122.82
48238,7275.06531,122.82
48559,5134.798725,122.82
49855,29155.58631,122.82
50139,19418.63779,122.82
50430,23354.77211,122.82
51904,25433.94077,122.82
52958,24232.66612,122.82
54530,7396.391,122.82
54657,66581.31155,122.82
54838,4777.314461,122.82
55899,2490.903575,122.82
57852,17271.88836,122.82
59262,20923.40985,122.82
59291,1567.693697,122.82
59953,18329.42561,122.82
61885,101295.0649,122.82
62469,8940.663333,122.82
62493,169179.7158,122.82
62526,96869.02445,122.82
64177,10805.8241,122.82
65657,164229.8821,122.82
67565,112887.0183,122.82
68620,60697.41485,122.82
69823,19675.25462,122.82
71315,13541.97823,122.82
71382,4683.758472,122.82
72389,12244.04123,122.82
72499,5023.62583,122.82
72644,92071.16539,122.82
73036,6982.563609,122.82
74302,9901.877207,122.82
75294,41483.4782,122.82
75394,8696.368751,122.82
75803,21209.81784,122.82
75932,29176.32397,122.82
77115,6330.459464,122.82
79512,73877.43025,122.82
79711,21556.96548,122.82
80777,112406.4779,122.82
81071,144426.0043,122.82
81728,14807.07347,122.82
82807,6517.907647,122.82
82849,215325.5805,122.82
83028,13781.25145,122.82
84540,30563.28769,122.82
85899,146983.0404,122.82
86687,115914.7383,122.82
87040,11164.33619,122.82
88086,15768.30774,122.82
89099,29876.4161,122.82
89130,15435.63689,122.82
91130,38052.63821,122.82
93445,21056.79072,122.82
94166,50226.40464,122.82
94820,154965.4935,122.82
96489,33718.02723,122.82
98824,40082.57036,122.82
99044,14505.07131,122.82
