pipe_number,cost_GBP,execution_time_sec
27,5269.200061,671.491
52,3552.654058,671.491
127,8605.382224,671.491
160,18935.07322,671.491
170,27660.72949,671.491
190,25358.75091,671.491
195,7484.150284,671.491
223,28437.55455,671.491
252,51519.40602,671.491
259,24251.31928,671.491
279,37206.60522,671.491
284,2867.530219,671.491
349,25097.27034,671.491
490,3218.100588,671.491
493,6901.537428,671.491
506,84825.7298,671.491
516,11058.23487,671.491
546,32453.22641,671.491
590,69503.83445,671.491
599,5355.567672,671.491
638,204085.2476,671.491
679,34857.35811,671.491
781,14219.54695,671.491
834,12284.19248,671.491
846,16959.64554,671.491
993,32493.01677,671.491
1009,7781.825407,671.491
1043,9310.002851,671.491
1092,5706.301886,671.491
1175,15197.83141,671.491
1187,27444.32136,671.491
1217,90257.46164,671.491
1224,41833.29,671.491
1228,29204.80142,671.491
1238,63599.7818,671.491
1306,32846.00509,671.491
1314,54775.67102,671.491
1387,18779.06771,671.491
1422,23958.22802,671.491
1436,26840.87001,671.491
1454,9310.103072,671.491
1585,7751.02089,671.491
1672,4921.458796,671.491
1691,25197.23422,671.491
1709,7749.75877,671.491
1719,54130.0699,671.491
1834,25850.63473,671.491
1863,163769.6987,671.491
1868,29059.95037,671.491
1918,14315.04708,671.491
1922,203837.3707,671.491
1945,30190.91842,671.491
1993,14284.39567,671.491
2013,16895.33986,671.491
2069,4843.535234,671.491
2151,50075.24884,671.491
2179,19932.70409,671.491
2201,186403.9064,671.491
2237,32973.75303,671.491
2257,46044.14887,671.491
2319,443178.5862,671.491
2323,39586.31449,671.491
2330,9445.567618,671.491
2355,85138.31492,671.491
2370,122780.3107,671.491
2382,6121.783913,671.491
2390,9149.117455,671.491
2423,10111.0218,671.491
2460,86305.8759,671.491
2500,28452.49435,671.491
2549,3914.712694,671.491
2551,33286.68855,671.491
2588,9705.955791,671.491
2608,318753.0752,671.491
2609,10047.23783,671.491
2663,5953.7096,671.491
2673,33157.14367,671.491
2736,15193.51071,671.491
2773,8453.959875,671.491
2792,20142.51361,671.491
2798,26041.069,671.491
2802,56932.10988,671.491
2874,7121.461471,671.491
2937,213945.9438,671.491
2993,52320.64387,671.491
3016,122970.5182,671.491
3050,35427.80822,671.491
3072,5226.56243,671.491
3087,109969.3273,671.491
3121,24740.92888,671.491
3139,45107.28383,671.491
3226,59370.37043,671.491
3263,67886.13988,671.491
3278,58870.93227,671.491
3289,13752.60093,671.491
3297,46522.18911,671.491
3302,9210.133746,671.491
3532,5392.481112,671.491
3556,7983.225514,671.491
3622,19206.25638,671.491
3628,9835.519242,671.491
3633,1776.75964,671.491
3713,21097.17193,671.491
3821,58192.37244,671.491
3874,11864.349,671.491
3954,16954.39586,671.491
3982,9690.343496,671.491
3989,18704.19319,671.491
4063,29328.57932,671.491
4102,91828.53986,671.491
4127,5438.193761,671.491
4130,11863.76376,671.491
4144,49541.69873,671.491
4229,12833.01676,671.491
4322,8457.051589,671.491
4383,3426.164222,671.491
4475,57223.39713,671.491
4595,2057.857709,671.491
4683,23880.3895,671.491
4688,19050.03817,671.491
4692,62149.2065,671.491
4698,2568.154586,671.491
4700,742328.6062,671.491
4715,158924.5276,671.491
4795,40551.89581,671.491
4805,31906.5641,671.491
4954,6432.796887,671.491
4963,24079.12741,671.491
5025,23408.03941,671.491
5068,25153.85209,671.491
5140,9628.454188,671.491
5153,13434.11488,671.491
5158,29739.66501,671.491
5181,10012.2639,671.491
5209,10662.82709,671.491
5239,31369.49862,671.491
5257,76020.70244,671.491
5271,30032.66098,671.491
5290,1478.514495,671.491
5374,73897.36929,671.491
5389,37713.28366,671.491
5400,87012.6414,671.491
5405,127107.2796,671.491
5515,9863.845902,671.491
5597,13661.39395,671.491
5648,45255.95257,671.491
5681,11197.24197,671.491
5743,5365.953506,671.491
5749,27090.17919,671.491
5788,7382.7476,671.491
5815,337127.7004,671.491
5831,5621.313171,671.491
5909,26429.57359,671.491
5915,13789.82532,671.491
5985,124221.3325,671.491
6001,91976.36482,671.491
6018,16955.70519,671.491
6084,14780.65172,671.491
6116,8314.877455,671.491
6130,15816.43308,671.491
6145,21781.54807,671.491
6190,21356.67053,671.491
6359,7276.254686,671.491
6365,16396.47002,671.491
6396,14928.6869,671.491
6401,61452.52431,671.491
6450,8120.240374,671.491
6479,27976.81259,671.491
6495,13710.14591,671.491
6519,7941.172159,671.491
6525,8518.48606,671.491
6576,63748.28127,671.491
6601,11128.61196,671.491
6650,3428.432017,671.491
6686,21441.48045,671.491
6732,107769.3139,671.491
6736,37478.23859,671.491
6757,56878.56397,671.491
6859,72268.8058,671.491
6921,1922.347039,671.491
6968,18970.45895,671.491
7008,5569.498773,671.491
7097,138309.5045,671.491
7137,11042.05874,671.491
7158,6280.477326,671.491
7174,34413.7199,671.491
7182,6960.022247,671.491
7215,26772.57372,671.491
7245,7225.408923,671.491
7307,38562.11255,671.491
7312,7758.43089,671.491
7339,13746.06532,671.491
7351,57718.09131,671.491
7354,61513.60141,671.491
7393,10824.62278,671.491
7412,34714.0185,671.491
7426,6057.209659,671.491
7430,4225.968246,671.491
7511,9435.302368,671.491
7547,6594.440724,671.491
7555,104744.249,671.491
7627,25898.49807,671.491
7698,9346.20249,671.491
7771,54367.50353,671.491
7831,7726.810256,671.491
7835,23299.84802,671.491
7888,11788.07305,671.491
7965,36217.46244,671.491
8006,49972.49125,671.491
8026,7858.65605,671.491
8041,8858.560102,671.491
8055,230963.3139,671.491
8145,17874.70258,671.491
8160,7708.96379,671.491
