pipe_number,cost_GBP,execution_time_sec
679,34857.35811,55.765
1672,4921.458796,55.765
1868,29059.95037,55.765
1918,14315.04708,55.765
2179,19932.70409,55.765
2549,3914.712694,55.765
3297,46522.18911,55.765
4698,2568.154586,55.765
4715,158924.5276,55.765
6495,13710.14591,55.765
6601,11128.61196,55.765
7627,25898.49807,55.765
7698,9346.20249,55.765
8748,8610.106632,55.765
8902,8899.314584,55.765
10370,14447.69551,55.765
10476,9212.210672,55.765
11068,73861.75161,55.765
11504,65807.97622,55.765
12281,125447.7537,55.765
15292,13392.20062,55.765
15381,17522.5751,55.765
15555,4680.755986,55.765
15967,202609.5318,55.765
16182,32485.62879,55.765
16388,7113.387377,55.765
16901,5734.867745,55.765
17485,16279.36761,55.765
17635,9720.360709,55.765
17885,10977.2578,55.765
18419,17589.84755,55.765
18940,46467.91496,55.765
19998,2954.352803,55.765
20488,3699.610229,55.765
23470,11994.04676,55.765
23612,33612.30255,55.765
23790,39708.2446,55.765
24002,22693.564,55.765
24986,16405.75772,55.765
25031,2594.941238,55.765
25481,20486.31637,55.765
26027,2407.354612,55.765
27697,34601.49834,55.765
28872,21599.21608,55.765
29537,36755.35637,55.765
29599,200034.6552,55.765
29876,84008.53899,55.765
29947,147453.4744,55.765
30750,32452.20495,55.765
33291,22272.70949,55.765
34996,7569.674519,55.765
35123,39169.86373,55.765
35865,11232.11723,55.765
36185,5653.195043,55.765
37195,195917.6162,55.765
37726,33310.30839,55.765
41812,16003.68521,55.765
43044,115990.8991,55.765
43076,24165.95579,55.765
45142,3933.975855,55.765
45300,66705.32724,55.765
46377,5404.976413,55.765
46738,32805.98982,55.765
47170,24086.05246,55.765
48238,7275.06531,55.765
48559,5134.798725,55.765
49265,8708.811433,55.765
49855,29155.58631,55.765
50139,19418.63779,55.765
50430,23354.77211,55.765
51904,25433.94077,55.765
52958,24232.66612,55.765
54298,30829.55649,55.765
54530,7396.391,55.765
54657,66581.31155,55.765
54838,4777.314461,55.765
54868,99131.20361,55.765
55899,2490.903575,55.765
56125,13930.15715,55.765
57852,17271.88836,55.765
59262,20923.40985,55.765
59291,1567.693697,55.765
59953,18329.42561,55.765
61885,101295.0649,55.765
62352,16635.06941,55.765
62469,8940.663333,55.765
62493,169179.7158,55.765
62526,96869.02445,55.765
63007,4676.143929,55.765
63400,5363.649762,55.765
64177,10805.8241,55.765
65001,1830.486032,55.765
65657,164229.8821,55.765
67454,7834.801487,55.765
67565,112887.0183,55.765
68620,60697.41485,55.765
69823,19675.25462,55.765
70354,18857.69751,55.765
71315,13541.97823,55.765
71370,20572.80695,55.765
71382,4683.758472,55.765
72389,12244.04123,55.765
72499,5023.62583,55.765
72644,92071.16539,55.765
73036,6982.563609,55.765
74302,9901.877207,55.765
75294,41483.4782,55.765
75394,8696.368751,55.765
75803,21209.81784,55.765
75932,29176.32397,55.765
77115,6330.459464,55.765
79512,73877.43025,55.765
79711,21556.96548,55.765
80777,112406.4779,55.765
81071,144426.0043,55.765
81728,14807.07347,55.765
82807,6517.907647,55.765
82849,215325.5805,55.765
83028,13781.25145,55.765
84493,16225.13683,55.765
84540,30563.28769,55.765
85899,146983.0404,55.765
86687,115914.7383,55.765
87040,11164.33619,55.765
88004,93510.36645,55.765
88086,15768.30774,55.765
89099,29876.4161,55.765
89130,15435.63689,55.765
90402,7997.010222,55.765
91130,38052.63821,55.765
93445,21056.79072,55.765
94166,50226.40464,55.765
94820,154965.4935,55.765
96489,33718.02723,55.765
98824,40082.57036,55.765
99044,14505.07131,55.765
99276,8038.409777,55.765
99737,113656.576,55.765
