Avg supply int min,Cost,Expected Burst/year,Expected Int to Supply Prop min,Expected Leakage l/d,Expected Leakage l/h,Ref,burst_points,leakage_points,supply_points,total_points
55.82127714435564,912052.8865745981,17.570436620823305,111642554.28871128,16078.499143468489,669.937464311187,11689.0,0.2870157026603586,0.3624206945087505,24.685760700337095,2.1823915355419657e-05
3.7265288445595965,169179.71582931388,183.21184093213355,7453057.689119193,142361.66599960063,5931.736083316693,62493.0,3.0014072560106526,3.220604351201215,2.1881351334571186,1.4656884155905574e-05
0.7963545947389723,60697.41484534748,32.3721379975192,1592709.1894779445,29143.519362704817,1214.3133067793674,68620.0,0.5467355819872683,0.6812451191018944,0.47806241735779015,8.80900495922459e-06
0.0,29155.586314446617,44.59106781521412,0.0,37954.19548643244,1581.424811934685,49855.0,0.7572421600004483,0.8932847742429877,0.0,8.516684892043816e-06
1.3797239223818178,112406.47786054511,69.15909385372521,2759447.8447636357,45985.24798255896,1916.05199927329,80777.0,1.183415854232822,1.092057716985571,0.8322455559038971,8.038611119793637e-06
1.1048938169898077,101295.0649032356,50.799715723669316,2209787.6339796153,30291.206250814575,1262.1335937839406,61885.0,0.8796694984253616,0.7272981127599447,0.6720620222981105,6.783928341356843e-06
0.07150191105469489,25898.498070139933,23.366637599573494,143003.8221093898,21904.14478368043,912.672699320018,7627.0,0.4082176075699926,0.5297760877275954,0.04378597663229241,6.822952212455789e-06
0.2744708376033645,21556.965482917636,5.082793288951194,548941.675206729,3551.416344528989,147.97568102204121,79711.0,0.08916090190967126,0.086352426144274,0.16815268286475277,6.7696827838180565e-06
2.3984236573194386,202609.531849164,64.73478157407392,4796847.314638877,31577.9293897097,1315.747057904571,15967.0,1.1365723477913223,0.7684786210067757,1.4718528223203329,6.320456225340484e-06
0.14789139609418844,25433.940770857957,13.145901875038973,295782.7921883769,8695.930994700962,362.3304581125401,51904.0,0.23346088168861423,0.21326253912588794,0.09211303213264173,4.930656021032261e-06
0.05196695314327792,24086.052464834498,12.83134645513035,103933.90628655584,12144.18299038144,506.0076245992267,47170.0,0.22840786776371017,0.2984653846724364,0.0323970637517551,4.374757947046695e-06
0.34841241295259084,66581.31155190016,20.374994909508235,696824.8259051817,18913.050598679794,788.0437749449915,54657.0,0.3635209414770016,0.4662141049975847,0.2172764899174039,4.28464301814151e-06
0.06645271760749988,21209.817835087906,10.255049013503067,132905.43521499974,8908.01032811062,371.1670970046092,75803.0,0.18363323870972076,0.22061447944004597,0.04153139415555786,4.256202717231213e-06
0.346087438799368,125447.75366311132,74.42740619341247,692174.877598736,51038.775857903835,2126.615660745993,12281.0,1.335194945646991,1.2668136238801526,0.21638642245792397,3.998032880659986e-06
0.5410556776983457,115914.73825237152,33.092090379103716,1082111.3553966915,27725.908242200203,1155.2461767583418,86687.0,0.6016913045938175,0.6970037335222056,0.33902123459931965,3.7503105960621966e-06
1.0209728922479115,158924.52755056453,18.29700523741777,2041945.784495823,10177.7536132365,424.07306721818753,4715.0,0.3346960224052769,0.2576551949144769,0.6419097993039667,3.3962113925526827e-06
1.2106192801969398,179797.0211779399,10.34717333501658,2421238.5603938797,7377.952769569512,307.414698732063,38810.0,0.18991018965207798,0.18725924464112037,0.7660623973878425,3.3999582846701936e-06
0.09088847970486486,33612.30255066799,11.016785418771498,181776.95940972972,10555.886147099463,439.8285894624776,23612.0,0.20258486071989418,0.2684207668957037,0.05795690343800722,3.412800490348617e-06
0.0005047980218320599,2490.903575426453,1.4022167273112776,1009.5960436641199,1177.1771794375763,49.049049143232345,55899.0,0.02583734876375723,0.03001446134684119,0.00032208148176767696,3.3326963597147907e-06
0.9188051138168498,200034.6552311987,36.11655321607114,1837610.2276336995,31760.98639191877,1323.3744329966155,29599.0,0.6656582598713774,0.8100523230375911,0.5862365794917159,3.2312684457544405e-06
0.6638851159784634,146983.0403533142,28.554198536708103,1327770.2319569269,22739.983206745987,947.4993002810828,85899.0,0.5298044299065764,0.5847114097895867,0.4260846877879331,3.187774590600545e-06
0.10638305945774448,41483.47820296663,11.703306871038999,212766.11891548897,11109.889353560779,462.91205639836573,75294.0,0.21830376777510418,0.28734787187962296,0.06856932700244227,3.0613605241658054e-06
0.048866472733952754,18329.42560816314,7.021044933039189,97732.9454679055,4325.767230629794,180.2403012762414,59953.0,0.13125126826635333,0.11220472096935087,0.0315185549523868,2.8914470979485846e-06
0.04631021049569833,23354.772109091788,8.16758562534362,92620.42099139665,6432.676258549871,268.028177439578,50430.0,0.1528853401213605,0.16704260385550862,0.02987920003833023,2.841099665499231e-06
3.6946662880955388,627882.5578304311,1.6836027742517834,7389332.576191078,1081.836768724832,45.076532030201335,34039.0,0.03156285360754544,0.02813995233520496,2.384499368925936,2.8018744186360696e-06
0.005575824016755407,7569.674519210263,3.260715799272168,11151.648033510814,2659.4378385363348,110.80990993901395,34996.0,0.0611486218466397,0.06919483701152214,0.003686483260162603,2.8684493374129684e-06
2.612493152296101,454411.32390939957,1.6762869119641326,5224986.3045922015,1348.9921754165216,56.20800730902174,58460.0,0.03145485779783964,0.0351231849894018,1.727326274886859,2.777440935915573e-06
0.0019341171595685578,3933.9758547747165,2.014705374550581,3868.2343191371156,1369.459464875752,57.06081103648967,45142.0,0.03781704106761541,0.035668611803005484,0.0013012754138598311,2.797069805192008e-06
1.4859860983035278,272512.46401009016,5.26945424930329,2971972.1966070556,2977.547865654228,124.06449440225951,95540.0,0.09894774628077356,0.07758016723778476,0.9997855239981064,2.7139125868075795e-06
