id,target_burst_rate,target_leakage_rate,target_supply_int,optimal_cost_gbp,heuristic_cost_gbp,cost_difference_gbp,heuristic_cost_excess_%,n_optimal_pipes,n_pipes_heuristic,correct_pipes_selected,pipe_accuracy,Xpress_time_sec,heuristics_time_sec,n_constraints,adjustment
br5900_lr4600000_si300,5900,4600000,300,198335.3021,198335.3021,3.38E-05,1.70E-08,2,2,2,1,43.261,8.507119,1,wo_adjustment
br7000_lr4600000_si80,7000,4600000,80,73682037.45,74177322.01,495284.5542,0.672191719,343,347,340,0.991253644,209.015,44.435922,1,wo_adjustment
br7000_lr2000000_si80,7000,2000000,80,116601255.5,116817668.4,216412.9008,0.185600832,2013,2109,1991,0.989071038,385.176,222.282566,2,wo_adjustment
br4000_lr4600000_si120,4000,4600000,120,27474601.83,27680156.81,205554.977,0.748163625,537,562,526,0.979515829,536.243,65.649672,2,wo_adjustment
br3800_lr1950000_si120,3800,1950000,120,102661513.4,103831032.7,1169519.228,1.139199286,2498,2482,2473,0.989991994,671.491,253.083001,3,wo_adjustment
br4500_lr3000000_si300,4500,3000000,300,16837139.39,17040316.28,203176.8888,1.206718577,487,483,481,0.987679671,58.551,56.016356,2,wo_adjustment
br3400_lr3200000_si200,3400,3200000,200,49229855.61,49231229.06,1373.447587,0.002789867,1232,1233,1232,1,137.925,128.953924,3,wo_adjustment
br5000_lr3500000_si175,5000,3500000,175,5362708.921,5367823.475,5114.554368,0.09537259,111,112,110,0.990990991,122.82,19.423374,3,wo_adjustment
br4800_lr4000000_si300,4800,4000000,300,5441722.307,5446170.091,4447.783877,0.081734856,138,139,138,1,55.765,21.779251,2,wo_adjustment
br7000_lr3300000_si300,7000,3300000,300,8219150.238,8240098.061,20947.82306,0.254866044,225,226,223,0.991111111,44.163,30.255423,1,wo_adjustment
br5900_lr4600000_si300,5900,4600000,300,198335.30211000002,198335.3021437605,3.376047243364155e-05,1.7021917971475112e-08,2,2,2,1.0,43.261,1228.37905,1,w_adjustment
br7000_lr4600000_si80,7000,4600000,80,73682037.45294105,73684620.34697495,2582.894033908844,0.00350545957087367,343,348,341,0.9941690962099126,209.0149999999995,1121.395977,1,w_adjustment
br7000_lr2000000_si80,7000,2000000,80,116601255.50775845,116817618.3401109,216362.83235244453,0.18555789250317986,2013,2108,1991,0.9890710382513661,385.1759999999869,344.439046,2,w_adjustment
br4000_lr4600000_si120,4000,4600000,120,27474601.82990226,27614943.42240509,140341.5925028287,0.5108048275701906,537,561,524,0.9757914338919925,536.2429999999966,147.559397,2,w_adjustment
br3800_lr1950000_si120,3800,1950000,120,102661513.42455746,103816496.0547502,1154982.6301927418,1.1250395514980405,2498,2483,2473,0.9899919935948759,671.49099999998,829.021476,3,w_adjustment
br4500_lr3000000_si300,4500,3000000,300,16837139.386413004,16851024.429399423,13885.042986419052,0.08246675796735285,487,482,480,0.9856262833675564,58.550999999999675,1336.144558,2,w_adjustment
br3400_lr3200000_si200,3400,3200000,200,49229855.60816901,49229912.127315655,56.519146643579006,0.00011480664719682915,1232,1233,1231,0.9991883116883117,137.92499999999893,199.552852,3,w_adjustment
br5000_lr3500000_si175,5000,3500000,175,5362708.921072,5362708.921023436,-4.856381565332413e-05,-9.055836587083729e-10,111,111,111,1.0,122.81999999999982,89.084981,3,w_adjustment
br4800_lr4000000_si300,4800,4000000,300,5441722.3067459995,5441722.306702019,-4.398077726364136e-05,-8.082142892355831e-10,138,138,138,1.0,55.76500000000013,1382.817407,2,w_adjustment
br4800_lr4000000_si300,4800,4000000,300,5441722.3067459995,5441722.306702019,-4.398077726364136e-05,-8.082142892355831e-10,138,138,138,1.0,55.76500000000013,1205.201474,2,w_adjustment
br7000_lr3300000_si300,7000,3300000,300,8219150.238210001,8219150.238342621,0.00013262033462524414,1.6135528708151065e-09,225,225,225,1.0,44.1629999999999,531.332348,1,w_adjustment
